日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2020-12-29,10:00:00,股票,凤形股份(002760.XSHE),买,市价单,2400股,16.63,39912,2400股,-,0,9.98,全部成交,2020-12-29 10:00:00
2020-12-30,14:00:00,股票,天顺股份(002800.XSHE),卖,市价单,-1700股,19.2,-32640,-1700股,-,-697,40.8,全部成交,2020-12-30 14:00:00
2021-01-04,14:50:00,股票,名雕股份(002830.XSHE),卖,市价单,-3200股,10.6,-33920,-3200股,-,-544,42.4,全部成交,2021-01-04 14:50:00
2021-01-04,14:50:00,股票,达意隆(002209.XSHE),卖,市价单,-6100股,6.92,-42212,-6100股,-,1952,52.76,全部成交,2021-01-04 14:50:00
2021-01-04,14:50:00,股票,凤形股份(002760.XSHE),卖,市价单,-2400股,17.27,-41448,-2400股,-,1536,51.81,全部成交,2021-01-04 14:50:00
2021-01-05,10:00:00,基金,银华日利(511880.XSHG),买,市价单,1500股,100.143,150214.5,1500股,-,0,0,全部成交,2021-01-05 10:00:00
2021-02-02,10:00:00,基金,银华日利(511880.XSHG),卖,市价单,-1500股,100.321,-150481.5,-1500股,-,267,0,全部成交,2021-02-02 10:00:00
2021-02-02,10:00:00,股票,达意隆(002209.XSHE),买,市价单,6400股,5.83,37312,6400股,-,0,9.33,全部成交,2021-02-02 10:00:00
2021-02-02,10:00:00,股票,名雕股份(002830.XSHE),买,市价单,4300股,8.67,37281,4300股,-,0,9.32,全部成交,2021-02-02 10:00:00
2021-02-02,10:00:00,股票,世龙实业(002748.XSHE),买,市价单,7300股,5.17,37741,7300股,-,0,9.44,全部成交,2021-02-02 10:00:00
2021-02-02,10:00:00,股票,天顺股份(002800.XSHE),买,市价单,2200股,17.1,37620,2200股,-,0,9.4,全部成交,2021-02-02 10:00:00
2021-02-09,10:00:00,股票,天顺股份(002800.XSHE),卖,市价单,-2200股,16.3,-35860,-2200股,-,-1760,44.82,全部成交,2021-02-09 10:00:00
2021-02-09,10:00:00,股票,中坚科技(002779.XSHE),买,市价单,4000股,9.25,37000,4000股,-,0,9.25,全部成交,2021-02-09 10:00:00
2021-02-09,10:00:00,股票,达意隆(002209.XSHE),卖,市价单,-6400股,5.25,-33600,-6400股,-,-3712,42,全部成交,2021-02-09 10:00:00
2021-02-19,10:00:00,股票,中坚科技(002779.XSHE),卖,市价单,-4000股,10.15,-40600,-4000股,-,3600,50.75,全部成交,2021-02-19 10:00:00
2021-02-19,10:00:00,股票,达意隆(002209.XSHE),买,市价单,13100股,5.65,74015,13100股,-,0,18.5,全部成交,2021-02-19 10:00:00
2021-03-30,10:00:00,股票,名雕股份(002830.XSHE),卖,市价单,-4300股,11.09,-47687,-4300股,-,10406,59.61,全部成交,2021-03-30 10:00:00
2021-03-30,10:00:00,股票,中坚科技(002779.XSHE),买,市价单,2300股,10.38,23874,2300股,-,0,5.97,全部成交,2021-03-30 10:00:00
2021-03-30,10:00:00,股票,三变科技(002112.XSHE),买,市价单,3300股,7.1,23430,3300股,-,0,5.86,全部成交,2021-03-30 10:00:00
2021-04-01,14:50:00,股票,世龙实业(002748.XSHE),卖,市价单,-7300股,5.57,-40661,-7300股,-,2920,50.83,全部成交,2021-04-01 14:50:00
2021-04-01,14:50:00,股票,达意隆(002209.XSHE),卖,市价单,-13100股,6.41,-83971,-13100股,-,9956,104.96,全部成交,2021-04-01 14:50:00
2021-04-01,14:50:00,股票,中坚科技(002779.XSHE),卖,市价单,-2300股,10.4,-23920,-2300股,-,46,29.9,全部成交,2021-04-01 14:50:00
2021-04-01,14:50:00,股票,三变科技(002112.XSHE),卖,市价单,-3300股,7.22,-23826,-3300股,-,396,29.78,全部成交,2021-04-01 14:50:00
2021-04-07,10:00:00,基金,银华日利(511880.XSHG),买,市价单,1700股,100.722,171227.4,1700股,-,0,0,全部成交,2021-04-07 10:00:00
2021-05-07,10:00:00,基金,银华日利(511880.XSHG),卖,市价单,-1700股,100.893,-171518.1,-1700股,-,290.7,0,全部成交,2021-05-07 10:00:00
2021-05-07,10:00:00,股票,达意隆(002209.XSHE),买,市价单,6700股,6.38,42746,6700股,-,0,10.69,全部成交,2021-05-07 10:00:00
2021-05-07,10:00:00,股票,三变科技(002112.XSHE),买,市价单,6300股,6.78,42714,6300股,-,0,10.68,全部成交,2021-05-07 10:00:00
2021-05-07,10:00:00,股票,天顺股份(002800.XSHE),买,市价单,2200股,19.27,42394,2200股,-,0,10.6,全部成交,2021-05-07 10:00:00
2021-05-07,10:00:00,股票,威星智能(002849.XSHE),买,市价单,3900股,10.92,42588,3900股,-,0,10.65,全部成交,2021-05-07 10:00:00
2021-05-25,10:00:00,股票,威星智能(002849.XSHE),卖,市价单,-3900股,11.94,-46566,-3900股,-,3978,58.21,全部成交,2021-05-25 10:00:00
2021-05-25,10:00:00,股票,世龙实业(002748.XSHE),买,市价单,7800股,6.27,48906,7800股,-,0,12.23,全部成交,2021-05-25 10:00:00
2021-06-01,10:00:00,股票,世龙实业(002748.XSHE),卖,市价单,-7800股,6.04,-47112,-7800股,-,-1794,58.89,全部成交,2021-06-01 10:00:00
2021-06-08,10:00:00,股票,世龙实业(002748.XSHE),买,市价单,7400股,6.32,46768,7400股,-,0,11.69,全部成交,2021-06-08 10:00:00
2021-06-16,10:00:00,股票,世龙实业(002748.XSHE),卖,市价单,-7400股,6.78,-50172,-7400股,-,3404,62.72,全部成交,2021-06-16 10:00:00
2021-06-16,10:00:00,股票,富临运业(002357.XSHE),买,市价单,10300股,4.88,50264,10300股,-,0,12.57,全部成交,2021-06-16 10:00:00
2021-06-22,10:00:00,股票,富临运业(002357.XSHE),卖,市价单,-10300股,5.03,-51809,-10300股,-,1545,64.76,全部成交,2021-06-22 10:00:00
2021-06-22,10:00:00,股票,中设股份(002883.XSHE),买,市价单,4400股,11.71,51524,4400股,-,0,12.88,全部成交,2021-06-22 10:00:00
2021-06-29,10:00:00,股票,中设股份(002883.XSHE),卖,市价单,-4400股,11.52,-50688,-4400股,-,-836,63.36,全部成交,2021-06-29 10:00:00
2021-07-06,10:00:00,股票,中设股份(002883.XSHE),买,市价单,4400股,11.54,50776,4400股,-,0,12.69,全部成交,2021-07-06 10:00:00
2021-07-13,10:00:00,股票,中设股份(002883.XSHE),卖,市价单,-4400股,11.2,-49280,-4400股,-,-1496,61.6,全部成交,2021-07-13 10:00:00
2021-07-20,10:00:00,股票,弘宇股份(002890.XSHE),买,市价单,3300股,14.78,48774,3300股,-,0,12.19,全部成交,2021-07-20 10:00:00
2021-07-27,10:00:00,股票,三变科技(002112.XSHE),卖,市价单,-6300股,7.18,-45234,-6300股,-,2520,56.54,全部成交,2021-07-27 10:00:00
2021-07-27,10:00:00,股票,中设股份(002883.XSHE),买,市价单,4400股,10.27,45188,4400股,-,0,11.3,全部成交,2021-07-27 10:00:00
2021-07-27,10:00:00,股票,天顺股份(002800.XSHE),卖,市价单,-3080股,12.4,-38192,-3080股,-,-4028.2,47.74,全部成交,2021-07-27 10:00:00
2021-08-03,10:00:00,股票,天顺股份(002800.XSHE),买,市价单,3100股,12.52,38812,3100股,-,0,9.7,全部成交,2021-08-03 10:00:00
2021-08-10,10:00:00,股票,弘宇股份(002890.XSHE),卖,市价单,-3300股,15.73,-51909,-3300股,-,3135,64.89,全部成交,2021-08-10 10:00:00
2021-08-17,10:00:00,股票,如意集团(002193.XSHE),买,市价单,9400股,5.5,51700,9400股,-,0,12.92,全部成交,2021-08-17 10:00:00
2021-08-24,10:00:00,股票,达意隆(002209.XSHE),卖,市价单,-6700股,7.64,-51188,-6700股,-,8509,63.98,全部成交,2021-08-24 10:00:00
2021-08-24,10:00:00,股票,华斯股份(002494.XSHE),买,市价单,13900股,3.7,51430,13900股,-,0,12.86,全部成交,2021-08-24 10:00:00
2021-08-31,10:00:00,股票,如意集团(002193.XSHE),卖,市价单,-9400股,5.5,-51700,-9400股,-,0,64.62,全部成交,2021-08-31 10:00:00
2021-08-31,10:00:00,股票,国统股份(002205.XSHE),买,市价单,6900股,7.49,51681,6900股,-,0,12.92,全部成交,2021-08-31 10:00:00
2021-09-14,10:00:00,股票,华斯股份(002494.XSHE),卖,市价单,-13900股,4.22,-58658,-13900股,-,7228,73.32,全部成交,2021-09-14 10:00:00
2021-09-14,10:00:00,股票,国统股份(002205.XSHE),卖,市价单,-6900股,7.99,-55131,-6900股,-,3450,68.91,全部成交,2021-09-14 10:00:00
2021-09-14,10:00:00,股票,名雕股份(002830.XSHE),买,市价单,10900股,10.4,113360,10900股,-,0,28.34,全部成交,2021-09-14 10:00:00
2021-10-20,14:00:00,股票,天顺股份(002800.XSHE),卖,市价单,-3100股,14.24,-44144,-3100股,-,5332,55.18,全部成交,2021-10-20 14:00:00
2021-10-21,10:00:00,股票,名雕股份(002830.XSHE),卖,市价单,-10900股,9.42,-102678,-10900股,-,-10682,128.35,全部成交,2021-10-21 10:00:00
2021-10-26,10:00:00,股票,名雕股份(002830.XSHE),买,市价单,5300股,9.1,48230,5300股,-,0,12.06,全部成交,2021-10-26 10:00:00
2021-10-26,10:00:00,股票,三变科技(002112.XSHE),买,市价单,7000股,6.9,48300,7000股,-,0,12.08,全部成交,2021-10-26 10:00:00
2021-10-26,10:00:00,股票,恒大高新(002591.XSHE),买,市价单,10000股,4.85,48500,10000股,-,0,12.12,全部成交,2021-10-26 10:00:00
2021-11-02,10:00:00,股票,恒大高新(002591.XSHE),卖,市价单,-10000股,5.02,-50200,-10000股,-,1700,62.75,全部成交,2021-11-02 10:00:00
2021-11-02,10:00:00,股票,如意集团(002193.XSHE),买,市价单,9700股,5.35,51895,9700股,-,0,12.97,全部成交,2021-11-02 10:00:00
2021-11-10,14:00:00,股票,如意集团(002193.XSHE),卖,市价单,-9700股,6.14,-59558,-9700股,-,7663,74.45,全部成交,2021-11-10 14:00:00
2021-11-16,10:00:00,股票,天顺股份(002800.XSHE),买,市价单,4200股,14.12,59304,4200股,-,0,14.83,全部成交,2021-11-16 10:00:00
2021-11-23,10:00:00,股票,天顺股份(002800.XSHE),卖,市价单,-4200股,14.13,-59346,-4200股,-,42,74.18,全部成交,2021-11-23 10:00:00
2021-11-30,10:00:00,股票,三变科技(002112.XSHE),卖,市价单,-7000股,7.8,-54600,-7000股,-,6300,68.25,全部成交,2021-11-30 10:00:00
2021-11-30,10:00:00,股票,天顺股份(002800.XSHE),买,市价单,4000股,13.92,55680,4000股,-,0,13.92,全部成交,2021-11-30 10:00:00
2021-11-30,10:00:00,股票,富临运业(002357.XSHE),买,市价单,11400股,4.98,56772,11400股,-,0,14.19,全部成交,2021-11-30 10:00:00
2021-12-07,10:00:00,股票,富临运业(002357.XSHE),卖,市价单,-11400股,5.23,-59622,-11400股,-,2850,74.53,全部成交,2021-12-07 10:00:00
