symbol,buy_date,buy_time,buy_price,sell_time,sell_price,profit_pct,sell_reason
600623.SH,2026-04-08,2026-04-08 09:31,9.39,2026-04-09 11:28,9.82,4.5793,T+1上午盈利卖出
600657.SH,2025-01-20,2025-01-20 09:31,4.61,2025-01-21 11:28,4.87,5.6399,T+1上午盈利卖出
600661.SH,2022-04-07,2022-04-07 09:31,10.12,2022-04-08 14:50,8.9,-12.0553,T+1尾盘清仓
600682.SH,2026-03-27,2026-03-27 09:31,6.83,2026-03-30 11:28,7.01,2.6354,T+1上午盈利卖出
600683.SH,2022-05-20,2022-05-20 09:31,4.93,2022-05-23 11:28,5.13,4.0568,T+1上午盈利卖出
600721.SH,2026-01-14,2026-01-14 09:31,10.11,2026-01-15 14:50,9.7,-4.0554,T+1尾盘清仓
600732.SH,2024-07-24,2024-07-24 09:31,9.65,2024-07-25 11:28,9.87,2.2798,T+1上午盈利卖出
600735.SH,2025-09-24,2025-09-24 09:31,5.98,2025-09-25 14:50,5.8,-3.01,T+1尾盘清仓
600738.SH,2021-07-22,2021-07-22 09:31,6.37,2021-07-23 14:50,6.36,-0.157,T+1尾盘清仓
600756.SH,2026-03-16,2026-03-16 09:31,16.97,2026-03-17 11:28,18.19,7.1892,T+1上午盈利卖出
600798.SH,2025-09-24,2025-09-24 09:31,4.26,2025-09-25 14:50,4.17,-2.1127,T+1尾盘清仓
600800.SH,2021-01-27,2021-01-27 09:31,4.69,2021-01-28 11:28,4.8,2.3454,T+1上午盈利卖出
600822.SH,2022-05-10,2022-05-10 09:31,7.72,2022-05-11 11:28,8.18,5.9585,T+1上午盈利卖出
600825.SH,2020-12-16,2020-12-16 09:31,5.11,2020-12-17 14:50,5.12,0.1957,T+1尾盘清仓
600986.SH,2026-04-24,2026-04-24 09:31,11.76,2026-04-27 14:50,11.46,-2.551,T+1尾盘清仓
601099.SH,2022-05-05,2022-05-05 09:31,2.6,2022-05-06 14:50,2.56,-1.5385,T+1尾盘清仓
601208.SH,2025-11-21,2025-11-21 09:31,17.9,2025-11-24 14:50,17.98,0.4469,T+1尾盘清仓
601528.SH,2021-10-14,2021-10-14 09:31,11.08,2021-10-15 11:28,11.15,0.6318,T+1上午盈利卖出
601919.SH,2022-04-06,2022-04-06 09:31,16.48,2022-04-07 14:50,15.62,-5.2184,T+1尾盘清仓
603002.SH,2024-09-06,2024-09-06 09:31,4.51,2024-09-09 14:50,4.45,-1.3304,T+1尾盘清仓
603002.SH,2025-04-18,2025-04-18 09:31,5.5,2025-04-21 11:28,6.35,15.4545,T+1上午盈利卖出
603004.SH,2024-09-12,2024-09-12 09:31,17.3,2024-09-13 14:50,16.42,-5.0867,T+1尾盘清仓
603065.SH,2024-04-19,2024-04-19 09:31,9.86,2024-04-22 14:50,9.61,-2.5355,T+1尾盘清仓
603098.SH,2021-10-20,2021-10-20 09:31,41.49,2021-10-21 11:28,42.14,1.5666,T+1上午盈利卖出
603103.SH,2023-08-25,2023-08-25 09:31,18.0,2023-08-28 11:28,19.1,6.1111,T+1上午盈利卖出
603118.SH,2023-11-30,2023-11-30 09:31,9.82,2023-12-01 14:50,9.87,0.5092,T+1尾盘清仓
603214.SH,2024-03-05,2024-03-05 09:31,13.1,2024-03-06 14:50,13.2,0.7634,T+1尾盘清仓
603223.SH,2023-10-13,2023-10-13 09:31,10.35,2023-10-16 11:28,10.92,5.5072,T+1上午盈利卖出
603290.SH,2021-02-05,2021-02-05 09:31,233.47,2021-02-08 11:28,239.5,2.5828,T+1上午盈利卖出
603359.SH,2025-04-24,2025-04-24 09:31,5.76,2025-04-25 11:28,6.27,8.8542,T+1上午盈利卖出
603383.SH,2022-06-16,2022-06-16 09:31,26.01,2022-06-17 14:50,25.46,-2.1146,T+1尾盘清仓
603486.SH,2022-04-15,2022-04-15 09:31,104.9,2022-04-18 11:28,106.23,1.2679,T+1上午盈利卖出
603507.SH,2022-10-13,2022-10-13 09:31,32.05,2022-10-14 11:28,33.27,3.8066,T+1上午盈利卖出
603536.SH,2022-05-26,2022-05-26 09:31,10.36,2022-05-27 14:50,9.89,-4.5367,T+1尾盘清仓
603595.SH,2025-04-11,2025-04-11 09:31,17.0,2025-04-14 11:28,18.08,6.3529,T+1上午盈利卖出
603728.SH,2024-02-21,2024-02-21 09:31,41.5,2024-02-22 11:28,43.39,4.5542,T+1上午盈利卖出
