symbol,buy_date,buy_price,sell_date,sell_price,profit_pct,sell_reason
600119.SH,2024-06-05,6.19,2024-06-06,5.71,-7.7544,T+1收盘卖出
600137.SH,2024-04-24,12.75,2024-04-25,13.01,2.0392,T+1开盘卖出(盈利)
600173.SH,2021-08-20,5.6,2021-08-23,5.51,-1.6071,T+1收盘卖出
600207.SH,2025-02-10,4.55,2025-02-11,4.59,0.8791,T+1开盘卖出(盈利)
600243.SH,2024-02-27,3.86,2024-02-28,3.9,1.0363,T+1开盘卖出(盈利)
600249.SH,2025-05-16,5.98,2025-05-19,6.11,2.1739,T+1收盘卖出
600257.SH,2022-03-18,6.03,2022-03-21,6.2,2.8192,T+1开盘卖出(盈利)
600265.SH,2024-08-09,14.7,2024-08-12,13.97,-4.966,T+1收盘卖出
600280.SH,2024-09-02,2.58,2024-09-03,2.54,-1.5504,T+1收盘卖出
600318.SH,2022-04-22,7.18,2022-04-25,7.5,4.4568,T+1收盘卖出
600318.SH,2025-03-06,8.42,2025-03-07,8.6,2.1378,T+1开盘卖出(盈利)
600337.SH,2024-06-21,2.22,2024-06-24,2.22,0.0,T+1开盘卖出(盈利)
600353.SH,2022-10-13,10.59,2022-10-14,10.93,3.2106,T+1开盘卖出(盈利)
600403.SH,2026-02-05,7.09,2026-02-06,7.08,-0.141,T+1收盘卖出
600421.SH,2025-04-16,6.19,2025-04-17,6.0,-3.0695,T+1收盘卖出
600520.SH,2023-05-18,13.63,2023-05-19,13.96,2.4211,T+1开盘卖出(盈利)
600521.SH,2022-05-23,20.01,2022-05-24,20.89,4.3978,T+1开盘卖出(盈利)
600602.SH,2022-04-21,7.5,2022-04-22,7.04,-6.1333,T+1收盘卖出
600604.SH,2026-03-23,5.51,2026-03-24,5.47,-0.726,T+1收盘卖出
600623.SH,2026-04-08,9.4,2026-04-09,9.75,3.7234,T+1开盘卖出(盈利)
600657.SH,2025-01-20,4.61,2025-01-21,4.73,2.603,T+1开盘卖出(盈利)
600661.SH,2022-04-07,10.12,2022-04-08,8.96,-11.4625,T+1收盘卖出
600682.SH,2026-03-27,6.84,2026-03-30,6.89,0.731,T+1开盘卖出(盈利)
600683.SH,2022-05-20,4.93,2022-05-23,5.01,1.6227,T+1开盘卖出(盈利)
600721.SH,2026-01-14,10.1,2026-01-15,9.75,-3.4653,T+1收盘卖出
600732.SH,2024-07-24,9.65,2024-07-25,9.55,-1.0363,T+1收盘卖出
600735.SH,2025-09-24,5.99,2025-09-25,6.05,1.0017,T+1开盘卖出(盈利)
600738.SH,2021-07-22,6.37,2021-07-23,6.36,-0.157,T+1收盘卖出
600756.SH,2026-03-16,16.98,2026-03-17,17.38,2.3557,T+1开盘卖出(盈利)
600798.SH,2025-09-24,4.28,2025-09-25,4.29,0.2336,T+1开盘卖出(盈利)
600800.SH,2021-01-27,4.69,2021-01-28,4.85,3.4115,T+1开盘卖出(盈利)
600822.SH,2022-05-10,7.72,2022-05-11,8.08,4.6632,T+1开盘卖出(盈利)
600825.SH,2020-12-16,5.11,2020-12-17,5.12,0.1957,T+1开盘卖出(盈利)
600986.SH,2026-04-24,11.7,2026-04-27,12.0,2.5641,T+1开盘卖出(盈利)
601099.SH,2022-05-05,2.6,2022-05-06,2.55,-1.9231,T+1收盘卖出
601208.SH,2025-11-21,17.8,2025-11-24,18.05,1.4045,T+1收盘卖出
601528.SH,2021-10-14,11.08,2021-10-15,11.18,0.9025,T+1开盘卖出(盈利)
601919.SH,2022-04-06,16.48,2022-04-07,15.55,-5.6432,T+1收盘卖出
603002.SH,2024-09-06,4.51,2024-09-09,4.44,-1.5521,T+1收盘卖出
603002.SH,2025-04-18,5.5,2025-04-21,6.5,18.1818,T+1开盘卖出(盈利)
603004.SH,2024-09-12,17.3,2024-09-13,17.36,0.3468,T+1开盘卖出(盈利)
603065.SH,2024-04-19,9.86,2024-04-22,9.89,0.3043,T+1开盘卖出(盈利)
603098.SH,2021-10-20,41.49,2021-10-21,41.21,-0.6749,T+1收盘卖出
603103.SH,2023-08-25,18.0,2023-08-28,19.0,5.5556,T+1开盘卖出(盈利)
603118.SH,2023-11-30,9.82,2023-12-01,9.84,0.2037,T+1开盘卖出(盈利)
603214.SH,2024-03-05,13.1,2024-03-06,13.16,0.458,T+1收盘卖出
603223.SH,2023-10-13,10.35,2023-10-16,10.56,2.029,T+1开盘卖出(盈利)
603290.SH,2021-02-05,233.47,2021-02-08,233.0,-0.2013,T+1收盘卖出
603359.SH,2025-04-24,5.76,2025-04-25,6.0,4.1667,T+1开盘卖出(盈利)
603383.SH,2022-06-16,26.01,2022-06-17,25.49,-1.9992,T+1收盘卖出
603486.SH,2022-04-15,104.9,2022-04-18,106.26,1.2965,T+1开盘卖出(盈利)
603507.SH,2022-10-13,32.05,2022-10-14,33.33,3.9938,T+1开盘卖出(盈利)
603536.SH,2022-05-26,10.36,2022-05-27,9.97,-3.7645,T+1收盘卖出
603595.SH,2025-04-11,17.0,2025-04-14,18.2,7.0588,T+1开盘卖出(盈利)
