日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2021-11-01,09:30:00,股票,万通智控(300643.XSHE),买,市价单,22900股,12.68,290372,22900股,-,0,87.11,全部成交,2021-11-01 09:30:00
2021-11-02,11:28:00,股票,万通智控(300643.XSHE),卖,市价单,-22900股,13.23,-302967,-22900股,-,12595,393.86,全部成交,2021-11-02 11:28:00
2021-11-04,09:30:00,股票,贝瑞基因(000710.XSHE),买,市价单,15100股,20.02,302302,15100股,-,0,90.69,全部成交,2021-11-04 09:30:00
2021-11-05,11:28:00,股票,贝瑞基因(000710.XSHE),卖,市价单,-15100股,21.59,-326009,-15100股,-,23707,423.81,全部成交,2021-11-05 11:28:00
2021-11-08,09:30:00,股票,鞍重股份(002667.XSHE),买,市价单,16300股,20.02,326326,16300股,-,0,97.9,全部成交,2021-11-08 09:30:00
2021-11-09,14:50:00,股票,鞍重股份(002667.XSHE),卖,市价单,-16300股,19.39,-316057,-16300股,-,-10269,410.87,全部成交,2021-11-09 14:50:00
2022-01-28,09:30:00,股票,天虹股份(002419.XSHE),买,市价单,44900股,7.02,315198,44900股,-,0,94.56,全部成交,2022-01-28 09:30:00
2022-02-07,14:50:00,股票,天虹股份(002419.XSHE),卖,市价单,-44900股,6.99,-313851,-44900股,-,-1347,408.01,全部成交,2022-02-07 14:50:00
2022-02-09,09:30:00,股票,中天金融(000540.XSHE),买,市价单,129500股,2.42,313390,129500股,-,0,94.02,全部成交,2022-02-09 09:30:00
2022-02-10,14:50:00,股票,中天金融(000540.XSHE),卖,市价单,-129500股,2.43,-314685,-129500股,-,1295,409.09,全部成交,2022-02-10 14:50:00
2022-02-14,09:30:00,股票,楚天龙(003040.XSHE),买,市价单,11300股,27.81,314253,11300股,-,0,94.28,全部成交,2022-02-14 09:30:00
2022-02-15,11:28:00,股票,楚天龙(003040.XSHE),卖,市价单,-11300股,27.89,-315157,-11300股,-,904,409.7,全部成交,2022-02-15 11:28:00
2022-02-28,09:30:00,股票,福建金森(002679.XSHE),买,市价单,24300股,12.95,314685,24300股,-,0,94.41,全部成交,2022-02-28 09:30:00
2022-03-01,11:28:00,股票,福建金森(002679.XSHE),卖,市价单,-24300股,13,-315900,-24300股,-,1215,410.67,全部成交,2022-03-01 11:28:00
2022-03-03,09:30:00,股票,天迈科技(300807.XSHE),买,市价单,5200股,30.04,156208,5200股,-,0,46.86,全部成交,2022-03-03 09:30:00
2022-03-03,09:30:00,股票,大理药业(603963.XSHG),买,市价单,19600股,8.01,156996,19600股,-,0,47.1,全部成交,2022-03-03 09:30:00
2022-03-04,14:50:00,股票,天迈科技(300807.XSHE),卖,市价单,-5200股,27.71,-144092,-5200股,-,-12116,187.32,全部成交,2022-03-04 14:50:00
2022-03-08,11:28:00,股票,大理药业(603963.XSHG),卖,市价单,-0股,--,0,-19600股,-,-0,0,已撤单,2022-03-08 11:28:00
2022-03-08,14:50:00,股票,大理药业(603963.XSHG),卖,市价单,-0股,--,0,-19600股,-,-0,0,已撤单,2022-03-08 14:50:00
2022-03-09,11:28:00,股票,大理药业(603963.XSHG),卖,市价单,-19600股,10.45,-204820,-19600股,-,47824,266.27,全部成交,2022-03-09 11:28:00
2022-03-15,09:30:00,股票,齐心集团(002301.XSHE),买,市价单,49700股,7.05,350385,49700股,-,0,105.12,全部成交,2022-03-15 09:30:00
2022-03-16,14:50:00,股票,齐心集团(002301.XSHE),卖,市价单,-49700股,6.83,-339451,-49700股,-,-10934,441.29,全部成交,2022-03-16 14:50:00
2022-03-17,09:30:00,股票,达华智能(002512.XSHE),买,市价单,102400股,3.31,338944,102400股,-,0,101.68,全部成交,2022-03-17 09:30:00
2022-03-18,11:28:00,股票,达华智能(002512.XSHE),卖,市价单,-102400股,3.5,-358400,-102400股,-,19456,465.92,全部成交,2022-03-18 11:28:00
2022-03-22,09:30:00,股票,嘉凯城(000918.XSHE),买,市价单,132500股,2.7,357750,132500股,-,0,107.32,全部成交,2022-03-22 09:30:00
2022-03-23,11:28:00,股票,嘉凯城(000918.XSHE),卖,市价单,-132500股,2.88,-381600,-132500股,-,23850,496.08,全部成交,2022-03-23 11:28:00
2022-03-28,09:30:00,股票,天泽信息(300209.XSHE),买,市价单,57200股,6.67,381524,57200股,-,0,114.46,全部成交,2022-03-28 09:30:00
2022-03-29,11:28:00,股票,天泽信息(300209.XSHE),卖,市价单,-57200股,7.14,-408408,-57200股,-,26884,530.93,全部成交,2022-03-29 11:28:00
2022-04-06,09:30:00,股票,中远海控(601919.XSHG),买,市价单,24700股,16.5,407550,24700股,-,0,122.26,全部成交,2022-04-06 09:30:00
2022-04-07,14:50:00,股票,中远海控(601919.XSHG),卖,市价单,-24700股,15.6,-385320,-24700股,-,-22230,500.92,全部成交,2022-04-07 14:50:00
2022-04-13,09:30:00,股票,铁岭新城(000809.XSHE),买,市价单,113700股,3.38,384306,113700股,-,0,115.29,全部成交,2022-04-13 09:30:00
2022-04-14,14:50:00,股票,铁岭新城(000809.XSHE),卖,市价单,-113700股,3.43,-389991,-113700股,-,5685,506.99,全部成交,2022-04-14 14:50:00
2022-04-15,09:30:00,股票,科沃斯(603486.XSHG),买,市价单,3700股,105.03,388611,3700股,-,0,116.58,全部成交,2022-04-15 09:30:00
2022-04-18,11:28:00,股票,科沃斯(603486.XSHG),卖,市价单,-3700股,106.1,-392570,-3700股,-,3959,510.34,全部成交,2022-04-18 11:28:00
2022-04-21,09:30:00,股票,云赛智联(600602.XSHG),买,市价单,52400股,7.51,393524,52400股,-,0,118.06,全部成交,2022-04-21 09:30:00
2022-04-22,14:50:00,股票,云赛智联(600602.XSHG),卖,市价单,-52400股,7.05,-369420,-52400股,-,-24104,480.25,全部成交,2022-04-22 14:50:00
2022-04-25,09:30:00,股票,东宏股份(603856.XSHG),买,市价单,32600股,11.28,367728,32600股,-,0,110.32,全部成交,2022-04-25 09:30:00
2022-04-26,11:28:00,股票,东宏股份(603856.XSHG),卖,市价单,-32600股,12.87,-419562,-32600股,-,51834,545.43,全部成交,2022-04-26 11:28:00
2022-04-27,09:30:00,股票,振东制药(300158.XSHE),买,市价单,41900股,10.02,419838,41900股,-,0,125.95,全部成交,2022-04-27 09:30:00
2022-04-28,11:28:00,股票,振东制药(300158.XSHE),卖,市价单,-41900股,10.5,-439950,-41900股,-,20112,571.93,全部成交,2022-04-28 11:28:00
2022-04-29,09:30:00,股票,建投能源(000600.XSHE),买,市价单,111900股,3.92,438648,111900股,-,0,131.59,全部成交,2022-04-29 09:30:00
2022-05-05,11:28:00,股票,建投能源(000600.XSHE),卖,市价单,-111900股,4.12,-461028,-111900股,-,22380,599.34,全部成交,2022-05-05 11:28:00
2022-05-06,09:30:00,股票,京蓝科技(000711.XSHE),买,市价单,57700股,2.66,153482,57700股,-,0,46.04,全部成交,2022-05-06 09:30:00
2022-05-06,09:30:00,股票,南岭民爆(002096.XSHE),买,市价单,14300股,10.71,153153,14300股,-,0,45.95,全部成交,2022-05-06 09:30:00
2022-05-06,09:30:00,股票,海利得(002206.XSHE),买,市价单,30500股,5.03,153415,30500股,-,0,46.02,全部成交,2022-05-06 09:30:00
2022-05-09,11:28:00,股票,南岭民爆(002096.XSHE),卖,市价单,-14300股,11.17,-159731,-14300股,-,6578,207.65,全部成交,2022-05-09 11:28:00
2022-05-09,11:28:00,股票,海利得(002206.XSHE),卖,市价单,-30500股,5.1,-155550,-30500股,-,2135,202.22,全部成交,2022-05-09 11:28:00
2022-05-10,11:28:00,股票,京蓝科技(000711.XSHE),卖,市价单,-57700股,2.93,-169061,-57700股,-,15579,219.78,全部成交,2022-05-10 11:28:00
2022-05-13,09:30:00,股票,海泰发展(600082.XSHG),买,市价单,125400股,3.86,484044,125400股,-,0,145.21,全部成交,2022-05-13 09:30:00
2022-05-16,11:28:00,股票,海泰发展(600082.XSHG),卖,市价单,-125400股,3.95,-495330,-125400股,-,11286,643.93,全部成交,2022-05-16 11:28:00
